languages_used,index_numbers,mixed_clip_filename,transcripts,utterance_ids,total_duration
"hi, hi, hi, hi, hi, hi","528, 3602, 3272, 1010, 580, 2255",mixed_clip_389.wav,"मैंने उसे फिरसे देखा। | क्या आपके पास फ्रेंच भाषा का शब्दकोष है? | बैठिए, थोड़ी सी चाय लीजिए! | एक महीने की तलाश के बाद मिला लापता डोर्नियर विमान का मलबा | बॉब अपना क्रोध काबू न कर पाया । | केरल हाई कोर्ट में कई पदों के लिए नौकरी","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",21.275999999999996
"hi, hi, hi, hi","1854, 1433, 2409, 3521",mixed_clip_390.wav,"कॉफी शॉप पर रिलीज होगा फिल्म 'शानदार' का नया गाना | नीतीश ने पीएम से की क्षेत्रीय असंतुलन खत्म करने की मांग | कंगना ने शेयर की फिल्म रिलीज डेट, लिखा - सपने देखने वाले पंगा लेते हैं | हमे किसी भी चीज़ की कमी नहीं है।","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.332
"hi, ne-NP, hi, hi","1411, 39, 4268, 2849",mixed_clip_391.wav,'हवाईजादा' का नया गाना ‘उड़ जाएगा हंस अकेला’ रिलीज | फिल्म खालि हिरो र हिरोइन गीत द्वन्द्व र ग्लसी दृश्यले चल्दैन । | कार्टूनिस्ट भी है जान अब्राहम | टॉम अपनी माँ पर गया है।,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.072
"ne-NP, hi, hi, hi, hi, hi","121, 177, 4270, 47, 2534, 4317",mixed_clip_392.wav,तपाईंको प्रोजेक्ट छिटै सकियोस् है दाजु। | क्या नया है? | हैदराबाद के निकट फार्मा सिटी बसाएगी तेलंगाना सरकार | तुम्हें मन लगाकर पढ़ना होगा। | मैं तुम से शादी करूंगी। | गुड़गांवः हॉस्पिटल की लिफ्ट में इराकी पुलिस के ड्राइवर ने की महिला से छेड़छाड़,"9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",20.412
"hi, hi, ne-NP, hi, hi, hi","1356, 3383, 119, 1763, 2774, 3332",mixed_clip_393.wav,"स्टूडेंट्स ऐसे बने ग्लोबल सिटीजन | इत्तेफ़ाक से, मैं उसे जानता हूँ। | ओडा कार्यलय कता छ? | झारखंड के रास्ते दिल्ली पर हमला | थोड़ी देर ठहरिए। मैं उन्हें फ़ोन देता हूँ। | नौकरी का झांसा देकर लड़कियों से रेप करने वाला 'डॉक्टर' गाजियाबाद में गिरफ्तार","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.764
"hi, hi, hi, hi","1123, 2246, 3741, 577",mixed_clip_394.wav,हेलीकॉप्टर दुर्घटना में सऊदी अरब के शहजादे मंसूर बिन मोकरेन की मौत | काश तुम स्पैनिश बोल सकते। | बिहार चुनाव: दूसरे दौर के मतदान की तैयारियां पूरी | मोटोरोला के नए फोन Moto E फोन की तस्वीरें लीक,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",19.512
"hi, hi, hi, hi, ne-NP","741, 2373, 630, 4203, 281",mixed_clip_395.wav,"वह गाने लगी। | पहले देश के लिए सब्सिडी छोड़ी, अब सब्सिडी के लिए खरीदें महंगा सिलेंडर? | चट्टान लगभग बिलकुल सीधी है। | फोन पर नहीं की बात, तो लड़की को जिंदा जलाया | जाअौँ, डुङ्गा बगाउन ।","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0142a5d130e7fb1d6435cf711c230cda2631aac457b40578f78ce5379713dfeca4a804e61706697ffa10adf0667f4d17ae2acc739859b1b338332fc346a080d5",19.727999999999998
"hi, hi, hi, hi, hi","1316, 4118, 869, 4204, 2466",mixed_clip_396.wav,"‘प्याज नहीं खाती’ पर निर्मला के दफ्तर ने वीडियो जारी कर दी सफाई | जाधव की मां को वीजा देने पर विचार कर रहा है पाकिस्तान | फिल्म 'पद्मावती' को लेकर क्यों रणवीर ने साधी चुप्पी? | शिंदे ने ‘आदर्श’ के लिए देशमुख को जिम्मेदार ठहराया | गुरुग्राम की सभी चारों सीट पर बीजेपी काबिज, इस बार कड़ा मुकाबला","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",23.759999999999998
"hi, ne-NP, hi, hi, ne-NP, hi","3232, 175, 4265, 519, 54, 1840",mixed_clip_397.wav,"फ़ूल पानी की कमी से मर गया। | पोखरा त थाहा भएन, मेरो एउटा साथीले चितवनको चाहिँ खुब गफ हान्थ्यो। | घरेलू काम में हाथ बंटाने से होता है तलाक! | मैंने तो मज़ाक के तौर पर कहा था। | खोजन बाहिर तिर निस्केर । | मुंबई: जहाजों की टक्कर की जांच के आदेश","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0142a5d130e7fb1d6435cf711c230cda2631aac457b40578f78ce5379713dfeca4a804e61706697ffa10adf0667f4d17ae2acc739859b1b338332fc346a080d5, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",21.276
"hi, hi, hi, hi, hi, hi","2759, 3997, 4024, 1330, 3860, 2989",mixed_clip_398.wav,"वह डॉक्टर नहीं है। | कश्मीरी युवक की परियोजनाओं को नासा की हरी झंडी | महेन्द्र कर्मा के बेटे आशीष कर्मा को डिप्टी कलेक्टर बनाने पर विवाद | हनुमानचालीसा और मंगलवार का व्रत | Facebook ने लॉन्च किया Libra, पेटीएम और Google Pay का होगा खेल खराब | उस गाड़ी के मुकाबले में यह गाड़ी ज़्यादा अच्छी है।","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",20.556
"hi, hi, hi, hi","2061, 3922, 3544, 1002",mixed_clip_399.wav,"जानें, एक सरकारी टीचर का बेटा मसूद अजहर कैसे बना दुनिया का खूंखार आतंकी | क्या तुम मुझे फ़्रांसीसी सिखाओगी? | बांग्लादेश ने पाकिस्तान के ख़िलाफ़ जंग लड़ी थी। | योगी आदित्यनाथ की फोटो पर थरूर का ट्वीट- इस संगम में सब नंगे हैं!","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",19.116
"hi, hi, hi, hi, hi","3809, 3609, 400, 3396, 1174",mixed_clip_400.wav,"टॉम अभी आराम कर रहा है। | Baadshaho Box Office: अजय देवगन की फिल्म ने छह दिन में कमाए इतने करोड़ | पुलवामा हमले के बाद इस्लामाबाद से दिल्ली बुलाए गए हाई कमिश्नर | जम्मू-कश्मीर: सिर में पत्थर से लगी चोट, युवक अस्पताल में भर्ती | सर्दियों में मूंगफली खाना सेहत के लिए होता है इतना फायदेमंद","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",22.211999999999996
"hi, hi, hi, hi, hi","609, 3427, 4095, 1258, 2769",mixed_clip_401.wav,"हम जल्दबाज़ी में ट्रेन स्टेशन गए। | संरा कमान के साथ उत्तर कोरिया ने वार्ता की | बच्चों की सुरक्षा के लिए मम्मी-पापा को भी पता होनी चाहिए ये बातें | शराबकांड के बाद जागी बिहार पुलिस, कई शहरों में दबिश | इन दो इंडियन शोज को देख खुश होती हैं अनन्या पांडे, किया खुलासा","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",21.78
"hi, hi, hi, hi, hi","4068, 2296, 3153, 3632, 1726",mixed_clip_402.wav,"जानें, कहां-किसने बनाई थी पहली मिसाइल, हिटलर से क्या है इसका कनेक्शन? | ग्रेजुएट पास के लिए गुजरात हाईकोर्ट में वैकेंसी | उत्तराखंड में बुधवार से चुनाव अभियान शुरू करेगी कांग्रेस | आपका दिन शुभ रहे। | रेल बजट आज, सभी ढूंढ़ेगे अपने लिए कुछ खास","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",18.0
"hi, hi, hi, hi, hi","790, 3849, 823, 2065, 3028",mixed_clip_403.wav,बस चुप करो और सुनो! | बारह कबाब मंगाते हैं! | दिल्ली में गणेश चतुर्थी की तैयारियां शुरू... | भव्य शादी करने वाले विवाहित जोड़े रहते हैं खुश: सर्वे | इजरायल की तरह भारतीय सीमा पर भी लगेंगे अंडर वाटर और अंडर अर्थ सेंसर,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.756
"hi, hi, hi, hi, hi","387, 3656, 289, 2049, 2253",mixed_clip_404.wav,मुफ्ती मुहम्मद सईद के निधन के बाद जम्मू-कश्मीर में परीक्षाओं की तारीख बढ़ी | क्या यह असली सोना है? | महंगाई मुद्दे पर संसद में हंगामा । बजट पर विस्तृत कवरेज | अब कलाई में बांध सकेंगे स्मार्टवॉच फोन | ओलंपिक के उद्घाटन में पंजाबी गीत पेश करेंगे रहमान,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",22.788
"hi, hi, hi, ne-NP, hi","3599, 1882, 1259, 95, 350",mixed_clip_405.wav,"मुझे चाय से ज़्यादा कॉफ़ी पसंद है। | लाहौर की सड़क पर न्यूड बाइक स्टंट, वीडियो वायरल | इशरत को मरवाया गया: परिवार | त्यसमा सावधानीपूर्वक आफ्नो नाउँ भरे । | क्रिस को सात सोने के सिक्के मिलते हैं!","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",18.72
"hi, hi, hi, hi, hi","715, 1638, 230, 3136, 2914",mixed_clip_406.wav,टॉम बहुत अमीर है। | उत्तर भारत में आसमान से बरसती आफत | First look: 'ठग्स ऑफ हिन्दोस्तान' में खुदाबख्श का रोल करेंगे बिग बी | इस साल बहुत बारिश पड़ी है। | टॉम यह खा नहीं सकता।,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.144000000000002
"hi, hi, hi, hi, hi, hi","1230, 748, 641, 4054, 2284, 2677",mixed_clip_407.wav,मुझे नौवे महीने का नाम बताओ। | हर एक सेब लाल है। | तुम नहीं समझोगे। | इन घरेलू उपायों से कुछ ही दिनों में निखर जाएगी आपकी त्वचा | गैंगरेप से बचने के लिए छत से कूदी महिला | गलती मेरी थी।,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.728
"hi, hi, hi, hi","1349, 2248, 779, 4003",mixed_clip_408.wav,"राहुल गांधी बोले- सियासत की बात नहीं करेंगे, आतंक के खिलाफ पूरा देश साथ | ऑस्ट्रेलिया में टीम इंडिया ने बीच वॉलीबॉल पर आजमाया हाथ | टिकट बुकिंग पर दिल्ली हाईकोर्ट ने जेट एयरवेज और डीजीसीए से मांगा जवाब | रणदीप हुड्डा बनेंगे 'सुलतान' में सलामन खान के रेसलिंग कोच","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",20.736
"hi, hi, hi, hi","2853, 1575, 1394, 2141",mixed_clip_409.wav,"टॉम यहाँ है, है ना? | इस्लामाबाद: कृष्णा-हिना के बीच वार्ता जारी | पासवान के एकमात्र विधायक ने थामा जेडीयू का दामन, लगाए गंभीर आरोप | इंडीज से बदला नहीं, अफगानों को वर्ल्ड कप तक ले जाना चाहते हैं सिमंस","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",19.62
